,ids,texts,user_ids,user_screen_name,in_reply_to_user_ids,in_reply_to_screen_names,user_mentionses,created_ats
601,1.37653E+18,"RT @Beritasatu: Bio Farma Telah Distribusikan 20,5 Juta Vaksin Covid ke Seluruh Indonesia https://t.co/ypIfIt0xiT https://t.co/OSxAuLCiw7",1.27636E+18,nandorero05,,,"[{'screen_name': 'Beritasatu', 'name': 'BeritaSatu', 'id': 154102750, 'id_str': '154102750', 'indices': [3, 14]}]",3/29/2021 13:59
602,1.37653E+18,"RT @jokowi: Program vaksinasi massal Covid-19 mencatatkan pencapaian baru. Hari Jumat ini, vaksinasi di Indonesia telah  menembus angka 10…",2388180302,pajaksolok,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 13:55
603,1.37653E+18,"RT @bidhumaskalsel: Protokol Kesehatan Harus Tetap Digalakkan.

Vaksin membuat imun tubuh kita meningkat serta risiko tertular Covid-19 jug…",1.26545E+18,JoniNew3,,,"[{'screen_name': 'bidhumaskalsel', 'name': 'Humas Polda Kalsel', 'id': 3102504937, 'id_str': '3102504937', 'indices': [3, 18]}]",3/29/2021 13:55
604,1.37653E+18,"BPJS selalu berusaha memberikan pelayanan terbaik untuk masyarakat Indonesia. Salah satunya mengenai vaksin, ada si… https://t.co/5wriGEadmK",1969937178,OnlyKharisma,,,[],3/29/2021 13:55
605,1.37653E+18,"RT @bidhumaskalsel: Vaksin meningkatkan imunitas dan mengurangi risiko penularan virus corona.

Jangan Abaikan, Selalu Terapkan 5M.

#AyoVa…",1.26545E+18,JoniNew3,,,"[{'screen_name': 'bidhumaskalsel', 'name': 'Humas Polda Kalsel', 'id': 3102504937, 'id_str': '3102504937', 'indices': [3, 18]}]",3/29/2021 13:55
606,1.37653E+18,"RT @bidhumaskalsel: Walau sudah divaksin kita tetap harus mematuhi Protokol Kesehatan, vaksin meningkatkan imunitas dan mengurangi resiko t…",1.26545E+18,JoniNew3,,,"[{'screen_name': 'bidhumaskalsel', 'name': 'Humas Polda Kalsel', 'id': 3102504937, 'id_str': '3102504937', 'indices': [3, 18]}]",3/29/2021 13:54
607,1.37653E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.37573E+18,riantimom,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 13:53
608,1.37653E+18,Menkes Sebut Stok Vaksin Covid-19 di Indonesia Terancam Habis April 2021 https://t.co/yTnPjwRkC0,1.35393E+18,BogordailyN,,,[],3/29/2021 13:48
609,1.37653E+18,"RT @KemenkesRI: Dengan tambahan 16 juta bulk vaksin ini, maka secara kumulatif Indonesia telah memiliki sekitar 53,3 juta bulk vaksin yang…",396731800,Jayci_Silva,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",3/29/2021 13:45
610,1.37653E+18,"RT @KemenkesRI: 16 juta bulk vaksin COVID-19 termasuk 1,5 juta untuk overfill telah tiba di Indonesia. 

Kedatangan bulk vaksin ini merupak…",396731800,Jayci_Silva,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",3/29/2021 13:45
611,1.37653E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.37575E+18,wati_astuti99,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 13:44
612,1.37653E+18,"RT @narkosun: Vaksin untuk simbah...

Ayo mbah ikut vaksinasi pemerintah. Agar aman dari virus mematikan. 

Yg muda klo mau divaksin, bawa…",1.16891E+18,bs_vito,,,"[{'screen_name': 'narkosun', 'name': 'IG: narkosun', 'id': 84221579, 'id_str': '84221579', 'indices': [3, 12]}]",3/29/2021 13:40
613,1.37653E+18,"Bio Farma Telah Distribusikan 20,5 Juta Vaksin Covid ke Seluruh Indonesia https://t.co/ypIfIt0xiT https://t.co/OSxAuLCiw7",154102750,Beritasatu,,,[],3/29/2021 13:38
614,1.37653E+18,"RT @KemenkesRI: Dengan tambahan 16 juta bulk vaksin ini, maka secara kumulatif Indonesia telah memiliki sekitar 53,3 juta bulk vaksin yang…",368081500,WelintonMurilo_,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",3/29/2021 13:38
615,1.37653E+18,"RT @KemenkesRI: 16 juta bulk vaksin COVID-19 termasuk 1,5 juta untuk overfill telah tiba di Indonesia. 

Kedatangan bulk vaksin ini merupak…",368081500,WelintonMurilo_,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",3/29/2021 13:38
616,1.37653E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.33117E+18,JuangKeadilan,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 13:37
617,1.37653E+18,Indonesia membutukan sekitar 426 juta dosis vaksin COVID-19 untuk memenuhi target herd immunity atau kekebalan kelo… https://t.co/KtPzhmPifV,135795460,detikfinance,,,[],3/29/2021 13:25
618,1.37653E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.33117E+18,Ir4wanSebastian,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 13:24
619,1.37653E+18,"RT @ontynad: Kabar baik untuk kita, 10 juta vaksin covid19 telah di berikan ke masyarakat Indonesia. Itu artinya target akan cepat tercapai…",1.33722E+18,NidaThaniaa,,,"[{'screen_name': 'ontynad', 'name': 'Nennod-nennod', 'id': 765416271412203524, 'id_str': '765416271412203524', 'indices': [3, 11]}]",3/29/2021 13:23
620,1.37652E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.33117E+18,Bint4ngUtara,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 13:21
621,1.37652E+18,"RT @KemenkesRI: 16 juta bulk vaksin COVID-19 termasuk 1,5 juta untuk overfill telah tiba di Indonesia. 

Kedatangan bulk vaksin ini merupak…",131487827,aunlove,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",3/29/2021 13:20
622,1.37652E+18,"Sesuai rencana,mestinya lebih dari 40 jt vaksin yg terpakai,krn targetnya 1jt vaksin/hari.

Cc. @KemenkesRI… https://t.co/f6F6RyTND5",1.03735E+18,hadiRochman1972,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [96, 107]}]",3/29/2021 13:16
623,1.37652E+18,"RT @KemenkesRI: 16 juta bulk vaksin COVID-19 termasuk 1,5 juta untuk overfill telah tiba di Indonesia. 

Kedatangan bulk vaksin ini merupak…",1317577278,hidupilahhidup,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",3/29/2021 13:13
624,1.37652E+18,"RT @KemenkesRI: 16 juta bulk vaksin COVID-19 termasuk 1,5 juta untuk overfill telah tiba di Indonesia. 

Kedatangan bulk vaksin ini merupak…",7.23192E+17,keikobag1,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",3/29/2021 13:13
625,1.37652E+18,"RT @KemenkesRI: 16 juta bulk vaksin COVID-19 termasuk 1,5 juta untuk overfill telah tiba di Indonesia. 

Kedatangan bulk vaksin ini merupak…",1.34138E+18,prayoga_abie,,,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",3/29/2021 13:12
626,1.37652E+18,"Vaksin Novavax Tiba di Indonesia Kuartal II-2021: Direktur Utama PT Bio Farma, Honesti Basyir menyebut bahwa vaksin… https://t.co/ABQXFGYoHd",456426648,merdekadotcom,,,[],3/29/2021 13:10
627,1.37651E+18,"Indonesia Amankan 329,5 Juta Dosis Vaksin Covid-19 di 2021 https://t.co/AX9esYXaE6",47596019,liputan6dotcom,,,[],3/29/2021 12:40
628,1.37651E+18,Stok Vaksin Covid-19 Indonesia Terancam Habis pada April 2021 Halaman all – Kompas. – https://t.co/kCy51AS9IJ… https://t.co/al9YXUuS1P,125288491,opsiin,,,[],3/29/2021 12:40
629,1.37651E+18,Stok Vaksin Covid-19 Indonesia Terancam Habis pada April 2021 Halaman all – Kompas. https://t.co/QY8LPBMxOE,125288491,opsiin,,,[],3/29/2021 12:40
630,1.37651E+18,"RT @ontynad: Kabar baik untuk kita, 10 juta vaksin covid19 telah di berikan ke masyarakat Indonesia. Itu artinya target akan cepat tercapai…",1.37474E+18,RudiArd6iansyah,,,"[{'screen_name': 'ontynad', 'name': 'Nennod-nennod', 'id': 765416271412203524, 'id_str': '765416271412203524', 'indices': [3, 11]}]",3/29/2021 12:31
631,1.37651E+18,"Indonesia Telah Amankan 329,5 Juta Dosis Vaksin Covid-19 di Tahun Ini: Honesti melanjutkan, pihaknya akan terus men… https://t.co/4HE5Qm2V5R",456426648,merdekadotcom,,,[],3/29/2021 12:28
